cell_name	average_expression	binary_call	time_point_expression
ABalappaap	-596	0	2098,-3681,355,1692,-3500,1691,-173,3008,-3963,3210,-6360,1071,-4815,1582,-1148
ABalappap	-349	0	2397,1546,-2530,525,-2620,-554,2047,-872,-96,2204,-506,1858,-1414,-1181,37,-1089,-1836,-1449,-2364,-1182,-1717,1309,-939,-1835,508,801,557,-699,-1761,967,851,200,625,1864,-5864
ABalappapa	-212	0	-696,-5303,-2412,-789,-996,4304,1139,-1636,749,1605,907,510,567,811,-1314,-171,-279,185,-3741,2568,-1814,-226,311,635
ABalappapp	23	0	1931,-221,1137,3437,1252,-580,41,-983,579,1667,-244,-1316,-1225,-4332,940,975,-719,2844,522,-1809,25,-2046,-2090,756
ABalappp	-1165	0	786,-2561,42,-1416,529,-1572,-2883,516,-216,-88,-3534,-2027,95,-412,-1138,-2354,-885,404,-651,-3183,-2656,-1374,-2241,-839,-2062,-581
ABalapppa	-1499	0	-309,-2180,696,-1319,-1396,-2204,-301,-4117,399,-590,430,-1932,-2394,-188,-3409,-404,-2329,-1041,-795,-1762,-1677,522,-3054,-1687,-3654,-1435,-4109,98,1130,-3512,-3691,-5000,1248,-2334,-163
ABalapppaa	-1012	0	-1955,-4585,-1,-124,-1088,-2433,696,427,2371,-5202,-3041,5869,957,-1687,-1514,968,-2862,-3551,-2825,193,-4419,-1043,715,-1350,-1786,2551,-2485,-1120
ABalapppap	-1285	0	-2337,2627,-61,-3768,-1831,108,-2362,-1759,647,-322,-2629,-3683,-3419,224,2221,-685,-2356,-64,248,67,49,-1945,-1487,-318,-1254,-2925,-6087,-2873
ABalapppp	-2319	0	694,-1766,-2282,-85,-803,679,-1020,-2527,-3147,-1645,-1523,-1531,-185,-2996,-60,-3314,-1203,-983,-4313,-3500,-3582,-2152,-1082,-3404,-3506,-3055,-4010,-3665,-2114,-4267,-3263,-2197,-7159,-3862,-3446,-1221
ABalappppa	-981	0	1761,196,1633,-2169,36,-2054,-5344,62,4175,2725,-297,-3660,882,-3611,-2354,425,-3561,-4458,707,2834,-3849,-4073,-180,1698,1551,-7766,-1801
ABalappppp	-1134	0	-5537,4713,-562,-4642,-3333,-821,-1446,-2304,-2556,-2536,-91,1529,210,1105,117,-2214,-2207,-1790,-2678,-1922,-1672,-650,3365,-1972,19,-2169,-569
ABalp	-1398	0	-561,-1298,-544,-953,-1358,-2525,-708,-2390,-2645,-1616,-1057,-819,-1706
ABalpa	-1215	0	-2281,-951,-1747,-1590,699,-1649,-1732,-889,-579,-1142,-1137,-1542,262,-957,-2648,-1034,-2338,-13,-1809
ABalpaa	-186	0	-1585,-5027,-3434,-482,-1406,-188,-1721,-1592,756,-1644,375,311,581,1604,-207,1849,1278,2101,3876,3446,2741,-2315,-3587
ABalpaaa	10175	1	1861,7662,2512,7127,4446,6117,8156,5388,6816,7805,9879,12079,8928,7178,9258,9476,10548,10973,10153,14001,16755,17414,18137,16912,17186,17017,12711,13226,16087,6834,2794
ABalpaaaa	17428	1	6290,8758,12918,16388,20843,19676,21392,23365,21036,14688,18248,22540,17865,19777,22055,18556,26066,18523,19409,19033,11681,23387,11635,15857,13885,14730,20096,18209,19080,19931,17767,14316,17740,16207,18675,18618,16529,18266,5642
ABalpaaaaa	12626	1	5666,2749,6358,10369,16781,16983,16465,10749,14676,16479,18809,14273,12301,12327,15921,14547,15007,13738,5699
ABalpaaaap	18754	1	6568,9173,14151,10115,12136,20423,18761,24295,17871,19668,18006,20576,23517,27225,21514,21897,20373,20749,29309
ABalpaaap	12445	1	4410,3274,9295,7360,12853,7236,8400,14391,11499,11013,11753,12361,9258,15505,13035,10868,14845,12500,11940,10009,15456,11893,8252,13857,17536,14536,15876,14750,13316,13704,13242,11583,20682,17712,13021,15729,15033,17852,10552,11427
ABalpaaapa	15342	1	7159,6652,10984,17109,23203,10313,14824,18562,13237,20923,15748,16108,17536,17215,21790,10802,18393,15591
ABalpaaapp	14261	1	7208,2648,8925,13578,16179,13345,10170,12259,21069,17700,16854,22401,13068,12905,13463,15682,19599,19652
ABalpaap	8420	1	1265,381,1578,3425,4488,7140,5669,6701,10773,6373,7631,5548,8898,10523,11723,14041,16450,15778,16946,13435,12809,14057,10365,2591,1908
ABalpaapa	16971	1	6774,9461,16714,23222,16572,20753,21027,14352,14555,14096,21840,10940,17191,17065,18922,20629,26382,20718,17648,20839,22780,14348,22781,18535,20577,22888,16267,13279,12805,15023,6944,7137
ABalpaapaa	25446	1	9260,8712,13827,18875,21057,19533,21589,19871,20547,21420,24779,27640,23258,21694,24773,28520,28766,25375,27346,28367,31873,25455,36304,31543,38305,38629,30107,29223,32564,28402,26614,30045
ABalpaapap	19934	1	2143,8729,11169,13509,13099,17962,15743,23642,21759,22219,16458,15134,21889,16806,15606,26620,19900,23473,19824,26373,22171,27288,17166,20723,28155,24833,19235,23520,24366,26013,28824,23543
ABalpaapp	11317	1	4996,4929,8265,8066,13736,10284,10525,13179,12927,15106,11053,11051,10399,15727,10859,13708,11114,11272,7717,11045,9815,12947,12858,13109,17087,11692,14079,12430,15860,13913,15275,12913,10528,11564,13606,7245,5853,3328
ABalpaappa	7893	1	5037,10032,7230,8461,12315,9064,7028,3525,10459,8613,5733,12433,7337,11409,6197,11755,6132,4849,8764,7397,6342,9494,7801,6963,5974,4875
ABalpaappp	8029	1	6881,3069,10725,7079,7758,14447,6577,5732,9491,10222,7459,4863,6093,8287,6974,10061,5320,14706,5277,8016,9024,6678,4898,13893,7267,7961
ABalpap	-416	0	-1759,-2200,-28,-914,-2726,283,441,-619,-759,-741,1019,-178,-946,-434,1021,336,1232,-958,-656,1514,-2286,204
ABalpapa	4632	1	433,1156,2259,4578,5618,3946,3079,4431,4836,5040,4034,5502,4466,5084,5963,4709,7819,4341,4546,4277,5611,10446,6330,5074,8033,4092,5420,2135,1067
ABalpapaa	3149	1	-211,4657,3626,3978,2724,5646,4702,3605,4492,2543,5881,5970,4679,4873,1176,4530,3539,7246,3588,4338,1108,4957,1490,3540,2731,2702,5167,1939,68,2938,3819,2605,735,3812,3669,2995,878,-1753,-2153
ABalpapaaa	2350	1	868,5167,-1763,2911,38,4400,5367,5777,2213,6973,5126,2367,1497,6032,669,-2343,282,1050,192,1561,2086,1230
ABalpapaap	555	0	4044,-1972,-943,1762,661,1201,434,1635,1384,1830,4694,-416,-6268,585,8098,-2018,-2331,1052,1055,2309,-3275,-1315
ABalpapap	3378	1	-285,1043,2968,4220,2022,5122,5403,2943,6415,3674,3379,6264,5164,3454,4231,3573,5640,6018,1872,5158,1246,4632,6521,2911,2343,2969,3679,1496,3168,3536,3944,2112,790,1783,1955,-967,4589
ABalpapapa	2122	1	2896,-484,-2148,2340,2712,1590,381,1313,3234,2510,2353,2483,5932,5301,5150,1495,1554,2925,1555,2373,511,4467,1103,-607
ABalpapapp	105	0	2921,38,-4406,-786,2542,1360,5387,114,185,1850,99,-2723,1991,3451,-254,-1796,6285,-3371,-3674,-3088,-1449,-4390,3521,-1298
ABalpapp	1901	0	-151,291,-441,4304,-515,531,1218,2143,1758,2372,2416,2339,1110,3360,3595,1904,3878,4301,-330,3000,4206,3159,2478,-1308
