cell_name	average_expression	binary_call	time_point_expression
ABalappapp	-1042	0	1593,-484,-1525,234,-3706,-3478,175,201,720,-5150,-1622,-2517,-70,2594,-101,1055,-2803,-394,507,-2179,-3746,-2359,-1169,-779
ABalappp	-1090	0	-158,-634,-791,37,918,-1758,-1386,-1456,77,-1483,-1316,-1471,-1707,-1623,-697,-1152,-354,-5533,-792,-1315,-651,-1665,-2748,-153,573
ABalapppa	-1847	0	-1428,-2917,-2250,-1276,-5316,891,-2037,-2225,1588,-980,-1669,-3514,-1948,-1886,-2944,-2850,-2206,660,-877,-78,-271,-2359,-4009,-1178,-1116,-3353,-387,-1221,-3512,-3387,-1181,-2967,-1822,-2014,-2604
ABalapppaa	-1230	0	719,-695,3198,-3080,-3002,-636,1610,931,-1060,-1863,-964,-5823,-1870,-1512,1053,-3022,408,703,-762,-3452,426,-458,-1861,-3615,-3798,-2052,-1935,-129,-5724,1369
ABalapppap	-1870	0	-196,940,-2088,-35,-4997,-317,1278,-407,-4429,-163,-3092,-3852,-5766,-1509,-2081,-374,-279,-3110,-1649,-4227,-3609,-954,1482,-1391,-3843,-2515,-660,-6751,-1380,-129
ABalapppp	-1829	0	-4851,1049,-3023,-1476,-815,-2088,-4377,-1347,-2367,338,-1768,-3153,-113,-1717,-1661,-1847,-652,-2249,-2922,-1640,-5202,-1210,-117,-1971,-917,-323,-313,-2918,-2037,-2890,-602,-1036,-2387,-3596
ABalappppa	-1668	0	2312,-3427,2034,-2730,-2324,-4709,-1819,-621,-661,-3804,-5925,-3701,-3392,-3036,-2849,-716,-279,486,-293,4,-1844,281,-1952,-1101,857,-4410,2145,-1627,-3724,-3061,-1816
ABalappppp	-1619	0	163,750,-5570,1426,-3929,-663,-2320,-874,-1899,-3842,-3761,-1136,-1738,-1147,-5398,-3559,762,-848,-3571,-3065,-1856,-1341,-131,1176,-1229,-117,-1689,-1614,-1283,-1391,-481
ABalp	-1649	0	-891,-893,63,-2576,-1810,-3306,-1349,-1367,-2549,-3692,-2390,-1557,882
ABalpa	-1559	0	-3289,-480,-1513,-1782,200,-1863,-995,-1424,-1801,-1683,-940,-1705,-3363,-546,-1100,-2555,-1895,-1956,-940
ABalpaa	-51	0	-3913,-2515,-3359,968,-640,-452,-2949,366,307,304,-366,708,1253,-1360,2309,2178,2357,1888,1020,1507,-681
